Commander/s,Identity,Appearances,Wins,Avg Winrate,Avg Drawrate,Best Standing,Worst Standing
"Kraum, Ludevic's Opus / Tymna the Weaver",WUBR,1605,2073,0.222,0.203,1,244
"Kinnan, Bonder Prodigy",UG,897,898,0.179,0.185,1,238
"Sisay, Weatherlight Captain",WUBRG,775,1035,0.232,0.188,1,243
"Tivit, Seller of Secrets",WUB,620,665,0.193,0.202,1,231
"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",UBR,575,763,0.225,0.163,1,234
"Najeela, the Blade-Blossom",WUBRG,556,644,0.206,0.173,1,200
"Kenrith, the Returned King",WUBRG,403,462,0.198,0.205,1,202
"Atraxa, Grand Unifier",WUBG,384,404,0.191,0.193,1,225
"Yuriko, the Tiger's Shadow",UB,260,243,0.177,0.167,1,196
"Kraum, Ludevic's Opus / Tevesh Szat, Doom of Fools",UBR,257,292,0.198,0.207,1,187
"Magda, Brazen Outlaw",R,239,275,0.207,0.165,1,159
"Talion, the Kindly Lord",UB,238,206,0.153,0.248,1,226
"Thrasios, Triton Hero / Tymna the Weaver",WUBG,238,232,0.177,0.201,1,204
"Nadu, Winged Wisdom",UG,228,305,0.233,0.184,1,230
"Bruse Tarl, Boorish Herder / Thrasios, Triton Hero",WURG,227,236,0.194,0.163,2,148
"Dargo, the Shipwrecker / Thrasios, Triton Hero",URG,225,231,0.19,0.179,1,208
"Korvold, Fae-Cursed King",BRG,213,190,0.165,0.126,1,223
"Ob Nixilis, Captive Kingpin",BR,210,189,0.163,0.137,1,229
"Tayam, Luminous Enigma",WBG,203,197,0.182,0.222,1,179
"Winota, Joiner of Forces",WR,198,151,0.139,0.152,1,200
"Rocco, Cabaretti Caterer",WRG,182,201,0.211,0.138,1,185
"Malcolm, Keen-Eyed Navigator / Tymna the Weaver",WUB,181,180,0.179,0.176,1,216
"Rograkh, Son of Rohgahh / Thrasios, Triton Hero",URG,178,206,0.205,0.183,1,220
"K'rrik, Son of Yawgmoth",B,176,149,0.156,0.106,1,207
"Krark, the Thumbless / Sakashima of a Thousand Faces",UR,168,184,0.195,0.175,1,204
"Niv-Mizzet, Parun",UR,160,182,0.202,0.197,1,200
"Malcolm, Keen-Eyed Navigator / Vial Smasher the Fierce",UBR,158,179,0.206,0.164,3,206
"Etali, Primal Conqueror // Etali, Primal Sickness",RG,140,145,0.185,0.132,1,168
"Thrasios, Triton Hero / Vial Smasher the Fierce",UBRG,120,138,0.2,0.161,1,159
"Malcolm, Keen-Eyed Navigator / Tana, the Bloodsower",URG,117,155,0.235,0.172,1,178
"Dihada, Binder of Wills",WBR,112,112,0.187,0.154,1,198
